primary,stress_level,n_films,mean_gross,median_gross,iqr_gross
Collective Resilience,Normal,132,88862300.57575758,50162340.5,96013171.25
Collective Resilience,Elevated,31,85166220.22580644,59148462,66995230
Collective Resilience,Stress,85,57851053.09411766,27819517,60825886
Comfort Nostalgia,Normal,131,73482516.72519085,47595156,74286474.5
Comfort Nostalgia,Elevated,18,33162453.222222224,27597247.5,40305180.25
Comfort Nostalgia,Stress,98,54761743.79591836,30435885,66548762.5
Dark Empathy,Normal,421,35511091.586698346,14159049,36878588
Dark Empathy,Elevated,84,25650801.75,10384830,23915331.25
Dark Empathy,Stress,402,33938909.972636886,12189889.5,39243084.25
Dystopian Catharsis,Normal,144,57739510.11111109,37314110.5,57302254.25
Dystopian Catharsis,Elevated,40,50865812.20000001,44327472.5,48853203.5
Dystopian Catharsis,Stress,97,60417848.6185567,41342497,53735448
Heroic Escapism,Normal,307,128872337.10423453,69767243,134011088.5
Heroic Escapism,Elevated,71,115658273.71830985,51592221,159902290.5
Heroic Escapism,Stress,254,120066913.68110242,74587978,137047811.25
Humorous Escape,Normal,473,74627886.46723047,48359377,79421155
Humorous Escape,Elevated,96,67334350.21875,45149447,84793967.5
Humorous Escape,Stress,357,68465323.3473389,46218546,74529148
Intelligent Rebellion,Normal,131,49283717.70229009,24578367,49699959
Intelligent Rebellion,Elevated,23,41392850.347826086,18062431,57080057
Intelligent Rebellion,Stress,103,44049437.72815533,16904685,45548520.5
Redemptive Grit,Normal,282,42812717.04609937,24750612.5,51427791.75
Redemptive Grit,Elevated,80,35842535.63749998,11011830.5,35888346.75
Redemptive Grit,Stress,227,32807780.67400879,13295759,42873406
