year,count_releases_Collective Resilience,count_releases_Comfort Nostalgia,count_releases_Dark Empathy,count_releases_Dystopian Catharsis,count_releases_Heroic Escapism,count_releases_Humorous Escape,count_releases_Intelligent Rebellion,count_releases_Redemptive Grit,median_gross_Collective Resilience,median_gross_Comfort Nostalgia,median_gross_Dark Empathy,median_gross_Dystopian Catharsis,median_gross_Heroic Escapism,median_gross_Humorous Escape,median_gross_Intelligent Rebellion,median_gross_Redemptive Grit
2000,15,13,38,10,19,38,9,32,114997543,42193803,18411472.5,56952857,88936610,47238212.5,25859581,47738108
2001,5,10,37,12,17,58,17,12,36235867,73975704,21468625,24078790.5,121423697,40748495,41187974,45678783
2002,15,15,32,15,23,41,9,23,65486491,76900322,12733431,47867738,69115835,47443767,13971237,29681357
2003,12,15,30,17,23,44,10,20,51323194,35021430,7811403.5,54027750,101973844,59671952.5,57621199,44626614
2004,12,14,35,8,24,51,14,14,61886381.5,58969510.5,14691340,95283261,72897911,33671235,13652803.5,22844371.5
2005,8,13,39,21,23,42,6,21,22161960,47595156,20156291,44066255,48535794,63666369.5,28005320.5,34861747
2006,14,8,27,19,18,54,9,25,61511502.5,45080626,16648771,34264001,69874939.5,52593600,87557333,36367955
2007,8,12,43,17,25,42,10,20,53234611,60505256,24087455,35771766,65631093,47514935,47647293.5,17119657.5
2008,7,11,34,15,27,54,13,16,16616167,69791226,21178046,40216678,101185330,45270045.5,31036723,18074915.5
2009,8,10,39,17,22,38,17,21,35441091,22909043.5,40018541,41342497,122414283,69114794.5,16904685,21871706
2010,4,6,43,6,24,39,14,27,63440846,31239937,9795293,46853390,126094376.5,60282467,41700656,16600811
2011,10,12,32,9,26,44,13,26,29555526.5,51417346,15974169.5,31198816,81871350,62934419.5,48294384,35462128.5
2012,15,6,25,14,32,39,4,30,39507267,39833306.5,18412052,64768799,86548421.5,49332979,14369734,20023735.5
2013,9,7,31,12,35,36,13,31,37735030,4886738,17681797,57033350.5,82601147,59226763,7369044,20049470
2014,19,3,25,19,28,36,8,32,56629817,14678130,17243740,38331429,75434287,58075482.5,17672604.5,22785192.5
2015,13,9,32,13,27,38,13,30,22365695,39077990,8039430,40848644,57795906,42049630,20494475,29772003.5
2016,10,8,29,15,28,52,13,24,68847075,25747693,15285980,33016167,71500386,34355504,18737379,21328788.5
2017,10,9,36,15,34,33,13,24,14582778.5,19530417,12504606.5,25019776,45997496.5,56823124,25006602,14541297
2018,8,11,50,6,39,28,13,23,39871975.5,61091105,12171210.5,31414248.5,67629252,52199131,18316477,24920026
2019,13,12,43,2,34,30,10,28,5620100,51252040,25061816,34919417.5,69146456.5,37970882.5,27148915.5,11278343.5
2020,4,4,57,2,16,19,6,26,321234,357587,875442,10332563,3100673.5,4074374,2590670,763259
2021,10,13,50,7,24,18,10,34,3949752,2460348,3129483.5,14017891,31383494,32033792,3664230.5,1923893
2022,7,15,53,4,28,27,6,26,15090306,1475060,6860019,27314404.5,27035913.5,11736004,4948205,1899324.5
2023,12,11,47,6,36,25,7,24,6874270.5,54713149,11152018,21212172.5,31980195.5,17246482,12914351,6809241
