primary,secondary,n,avg_gross_pairing,avg_imdb,avg_gross_primary,relative_lift
Dystopian Catharsis,Redemptive Grit,2,241964307.5,6.35,86743550.81388889,2.7894212910322556
Intelligent Rebellion,Heroic Escapism,6,96396068.33333333,6.65,41029590.066450216,2.349428014689236
Dark Empathy,Heroic Escapism,12,99986956.16666666,6.783333333333333,47270441.73694582,2.115210954090121
Heroic Escapism,Comfort Nostalgia,6,261126739.66666666,6.566666666666666,127264343.66749707,2.051845254857175
Redemptive Grit,Heroic Escapism,10,68332673,6.51,39114134.462697625,1.7470071609322588
Comfort Nostalgia,Heroic Escapism,8,73262095.75,6.375,46221342.330471866,1.5850274365939663
Collective Resilience,Heroic Escapism,14,87487542.42857143,6.521428571428571,57205595.33116169,1.529352887984267
Intelligent Rebellion,Dystopian Catharsis,7,62330776,5.814285714285714,41029590.066450216,1.5191664332753767
Humorous Escape,Heroic Escapism,46,90038405.95652173,5.908695652173913,62274607.32636627,1.4458285619474414
Comfort Nostalgia,Humorous Escape,38,64180150.73684209,6.21578947368421,46221342.330471866,1.388539308918571
Humorous Escape,Collective Resilience,61,84147068.26229508,6.019672131147541,62274607.32636627,1.3512259952327037
Intelligent Rebellion,Dark Empathy,45,52294203.599999994,6.788888888888889,41029590.066450216,1.2745485274238901
Collective Resilience,Humorous Escape,10,71043772.7,6.3,57205595.33116169,1.2419025147580314
Comfort Nostalgia,Collective Resilience,29,56177890.965517245,6.724137931034483,46221342.330471866,1.2154102008517704
Collective Resilience,Comfort Nostalgia,13,68758107.69230768,6.853846153846154,57205595.33116169,1.2019472447453574
Redemptive Grit,Dystopian Catharsis,1,45971066,7.7,39114134.462697625,1.1753057208473243
Dark Empathy,Comfort Nostalgia,7,54527843,6.785714285714286,47270441.73694582,1.1535293726138782
Redemptive Grit,Humorous Escape,14,41917251.7142857,6.671428571428572,39114134.462697625,1.0716650717213583
Dark Empathy,Collective Resilience,20,50540458.79999999,6.655,47270441.73694582,1.0691767824225424
Collective Resilience,Intelligent Rebellion,6,60532516,6.6,57205595.33116169,1.058157259785146
Humorous Escape,Comfort Nostalgia,117,64029801.60683759,5.646551724137931,62274607.32636627,1.0281847506684831
Heroic Escapism,Collective Resilience,125,126593894.408,6.3752,127264343.66749707,0.9947318373695563
Humorous Escape,Redemptive Grit,57,61478236.63157895,6.185714285714286,62274607.32636627,0.9872119515645642
Humorous Escape,Intelligent Rebellion,59,60185826.38983051,6.083050847457627,62274607.32636627,0.9664585450440665
Heroic Escapism,Redemptive Grit,27,122128400.07407407,6.7407407407407405,127264343.66749707,0.9596434991497568
Dystopian Catharsis,Collective Resilience,15,80693087.13333334,5.88,86743550.81388889,0.9302488355181929
Intelligent Rebellion,Collective Resilience,11,37784751.18181818,6.627272727272727,41029590.066450216,0.9209146647729894
Heroic Escapism,Intelligent Rebellion,19,115426138.94736841,6.431578947368421,127264343.66749707,0.9069794069652511
Heroic Escapism,Dark Empathy,32,110211878.84375,6.296774193548387,127264343.66749707,0.8660075215702211
Dark Empathy,Dystopian Catharsis,95,40571808,6.173404255319149,47270441.73694582,0.8582912811726429
Heroic Escapism,Humorous Escape,34,103463407.8235294,6.0588235294117645,127264343.66749707,0.8129803277330196
Collective Resilience,Dark Empathy,13,45143777.461538464,6.776923076923077,57205595.33116169,0.7891496837014337
Redemptive Grit,Collective Resilience,75,30764564.186666664,6.644594594594595,39114134.462697625,0.7865331704068824
Redemptive Grit,Dark Empathy,90,30516216.200000003,6.564444444444445,39114134.462697625,0.7801838547418891
Comfort Nostalgia,Redemptive Grit,20,35299402.20000001,6.835,46221342.330471866,0.7637035278555409
Redemptive Grit,Comfort Nostalgia,29,29859417.137931027,6.4862068965517246,39114134.462697625,0.7633919949425791
Collective Resilience,Redemptive Grit,28,39654931.03571429,6.864285714285714,57205595.33116169,0.6932002159256089
Redemptive Grit,Intelligent Rebellion,8,26437753,6.35,39114134.462697625,0.6759130264077085
Dark Empathy,Intelligent Rebellion,69,30417002.115942027,6.821739130434782,47270441.73694582,0.6434676935157257
Humorous Escape,NA,1,39734269,3.6,62274607.32636627,0.6380492901667325
Dark Empathy,Humorous Escape,27,29903674.40740741,6.4,47270441.73694582,0.6326083131149413
Dystopian Catharsis,Heroic Escapism,4,53184112.25,6.45,86743550.81388889,0.6131189206689065
Dystopian Catharsis,Dark Empathy,71,52720883,5.743661971830986,86743550.81388889,0.6077787052217215
Dystopian Catharsis,Humorous Escape,1,52436136,7,86743550.81388889,0.6044960750166134
Intelligent Rebellion,Humorous Escape,28,24648091.75,6.946428571428571,41029590.066450216,0.600739410510335
Humorous Escape,Dark Empathy,16,36308643.4375,6.075,62274607.32636627,0.5830409053760085
Dark Empathy,Redemptive Grit,172,24945349.66860467,6.805847953216374,47270441.73694582,0.5277156030701482
Collective Resilience,Dystopian Catharsis,1,27818520,4.9,57205595.33116169,0.486290193100156
Dystopian Catharsis,Intelligent Rebellion,4,39462779,6.5,86743550.81388889,0.4549361725423101
Heroic Escapism,Dystopian Catharsis,11,51899945.90909091,6.127272727272727,127264343.66749707,0.4078121523550197
Intelligent Rebellion,Redemptive Grit,5,12407252.6,7.0600000000000005,41029590.066450216,0.3023976739690942
Comfort Nostalgia,Dark Empathy,3,2187172,6.6000000000000005,46221342.330471866,0.047319525780152125
Intelligent Rebellion,Comfort Nostalgia,1,1345987,7.3,41029590.066450216,0.03280527535907823
